"PLU","CATEGORY","COMMODITY","VARIETY","SIZE"
"3273","Vegetables","BEETS","Golden","All Sizes"
"3274","Fruits","PRUNES","Fresh","All Sizes"
"3275","Vegetables","NAME","Yellow (nyAH-may)","All Sizes"
"3276","Vegetables","NAME","White (nyAH-may)","All Sizes"
"3277","Vegetables","BROCCOLI","Baby","All Sizes"
"3278","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","","All Sizes"
"3279","Fruits","KIWIFRUIT","Golden","All Sizes"
"3280","Fruits","KIWIFRUIT","Regular","Jumbo"
"3281","Fruits","MELON","Watermelon - Orange, Seedless","All Sizes"
"3282","Vegetables","TOMATOES","Plum/Italian/Saladette/Roma on the vine - Red","All Sizes"
"3283","Fruits","APPLES","Honeycrisp"," Large "
"3284","Fruits","APPLES","Red Delicious"," Extra Large "
"3285","Fruits","APPLES","Golden Delicious"," Extra Large "
"3286","Vegetables","ONIONS","Sweet red Italian - flat","All Sizes"
"3287","Fruits","BANANAS","Hawaiian plantain","All Sizes"
"3288","Vegetables","SWEET POTATO/YAM/KUMARA","Retailer Assigned","All Sizes"
"3289","Fruits","MELON","Sprite","All Sizes"
"3290","Fruits","APPLES","Aurora/Southern Rose"," Large "
"3291","Fruits","APPLES","Boskoop/Belle de Boskoop"," Small "
"3292","Fruits","APPLES","Boskoop/Belle de Boskoop"," Large "
"3293","Fruits","APPLES","Scifresh","  Small  "
"3294","Fruits","APPLES","Scifresh"," Large "
"3295","Fruits","APPLES","Sciearly"," Small "
"3296","Fruits","APPLES","Sciearly"," Large "
"3297","Fruits","APPLES","Scired"," All Sizes "
"3298","Fruits","APPLES","Redfield","All Sizes    "
"3299","Fruits","APPLES","Sonya"," Small "
"3300","Fruits","APPLES","Sonya"," Large "
"3301","Fruits","APPLES","Cripps Red"," Large "
"3302","Fruits","APRICOTS","Regular","Large"
"3303","Fruits","BABACO","","All Sizes"
"3304","Fruits","BERRIES","Loganberries","All Sizes"
"3305","Fruits","CURRANTS","Black","All Sizes"
"3306","Fruits","MELON","Charentais","Medium"
"3307","Fruits","MELON","Charentais","Extra Large"
"3308","Fruits","MELON","Watermelon - Orange, Seedless","All Sizes"
"3309","Fruits","ORANGES","Lima","All Sizes"
"3310","Fruits","ORANGES","Pera","All Sizes"
"3311","Fruits","PASSION FRUIT","Curuba/Banana","All Sizes"
"3312","Fruits","PASSION FRUIT","Granadilla - Yellow/Maracuja","All Sizes"
"3313","Fruits","PEACHES","White Flesh - Tree Ripened/ Ready-to-eat"," Small "
"3314","Fruits","PEACHES","White Flesh - Tree Ripened/ Ready-to-eat"," Large "
"3315","Fruits","APPLES","Scilate","Small"
"3316","Fruits","PEARS","Carmen","All Sizes"
"3317","Fruits","PEARS","Angelys","All Sizes "
"3318","Fruits","PEARS","Passe Crassane","Large"
"3319","Fruits","PITAHAYA","Yellow (skin color)","All Sizes"
"3320","Vegetables","CAULIFLOWER","Romanesco/Broccoflower/Caulibroc","All Sizes"
"3321","Vegetables","CELERY ROOT/CELERIAC","With leaves attached","All Sizes"
"3322","Vegetables","CHOY SUM/PAK CHOI SUM","","All Sizes"
"3323","Vegetables","CHOY SUM/PAK CHOI SUM","Baby","All Sizes"
"3324","Vegetables","ESCAROLE/BATAVIAN CHICORY","Red","All Sizes "
"3325","Vegetables","LETTUCE","Lollo Bionda/Coral - Green","All Sizes "
"3326","Vegetables","LETTUCE","Lollo Rossa/Coral - Red","All Sizes "
"3327","Vegetables","LETTUCE","Mignonette (Compact red-tinged butterhead varieties)","All Sizes"
"3328","Vegetables","LETTUCE","Mixed small-leaf salad (eg Sucrine, Mesclun, Rocket/Arugula)","All Sizes "
"3329","Vegetables","LETTUCE","Oak Leaf - Green","All Sizes "
"3330","Vegetables","LETTUCE","Oak Leaf - Reg","All Sizes "
"3331","Vegetables","ONIONS","Red Fresh - Bunch","All Sizes"
"3332","Vegetables","SPINACH","Baby","All Sizes"
"3333","Vegetables","SWEET POTATO/YAM/KUMARA","Red/Orangy White Flesh","Small"
"3334","Vegetables","SWEET POTATO/YAM/KUMARA","Red/Orangy White Flesh","Large"
"3335","Vegetables","TOMATOES","Cocktail/Intermediate - Red/On the Vine (Truss)","All Sizes"
"3336","Vegetables","TOMATOES","Cocktail/Intermediate - Red/Plum/Italian/Saladette/Roma/On the Vine (Truss)","All Sizes"
"3337","Dried Fruits","FIGS","(Dried Fruit)","All Sizes"
"3338","Herbs","ANISE","","All Sizes"
"3339","Fruits","APPLES","Belchard - Chantecler"," All Sizes "
"3340","Fruits","APPLES","Bertanne/Golden Russet"," All Sizes "
"3341","Fruits","APPLES","Charles Ross"," All Sizes "
"3342","Fruits","APPLES","Delblush"," All Sizes  "
"3343","Fruits","APPLES","Dessert"," All Sizes "
"3344","Fruits","APPLES","Gloster"," Small "
"3345","Fruits","APPLES","Gloster"," Large "
"3346","Fruits","APPLES","Holstein"," All Sizes "
"3347","Fruits","APPLES","Laxtons Fortune"," All Sizes "
"3348","Fruits","APPLES","Lord Lambourne"," All Sizes "
"3349","Fruits","APPLES","Michaelmas Red"," All Sizes "
"3350","Fruits","APPLES","Reine des Reinettes/King of the Pippins"," Small "
"3351","Fruits","APPLES","Reine des Reinettes/King of the Pippins"," Large "
"3352","Fruits","APPLES","Reinettes and Heritage varieties - (incl Canada blanc Reinette du Mans, Armorique/du Vigan/Calville"," All Sizes "
"3353","Fruits","APPLES","St Edmunds Pippin"," All Sizes "
"3354","Fruits","AVOCADOS","Ripe/Ready-to-Eat","All Sizes "
"3355","Fruits","BERRIES","Strawberries - Nominal 500g/1 litre","All Sizes"
"3356","Fruits","BERRIES","Strawberries - Nominal250g/1/2 litre","All Sizes"
"3357","Fruits","CHERRIES","Regular/Red/Black","Small"
"3358","Fruits","CHERRIES","Regular/Red/Black","Large"
"3359","Fruits","GRAPES","Chasselas","All Sizes"
"3360","Fruits","GRAPES","Muscat de Hambourg","All Sizes"
"3361","Fruits","GRAPEFRUIT","Without p/harvest treatment","All Sizes"
"3362","Fruits","LEMONS","Without postharvest treatment","All Sizes"
"3363","Fruits","MANGO","Bowen & Kensington Pride","All Sizes"
"3364","Fruits","MANGO","R2E2 (ArtwoEetwo)","All Sizes"
"3365","Fruits","MANGO","Ripe/Ready-to-Eat","All Sizes"
"3366","Fruits","MADROÑA","","All Sizes"
"3367","Fruits","MELON","Glasshouse - Netted varieties","All Sizes "
"3368","Fruits","MELON","Ogen","All Sizes"
"3369","Fruits","NECTARINE","Nectavigne (Red Flesh)","All Sizes"
"3370","Fruits","ORANGES","Maltaise","All Sizes"
"3371","Fruits","ORANGES","Salustiana","All Sizes"
"3372","Fruits","ORANGES","Navelate (and other late Navel varieties)","All Sizes"
"3373","Fruits","ORANGES","Navelina (incl. Newhall)","All Sizes"
"3374","Fruits","ORANGES","Without postharvest treatment","All Sizes"
"3375","Fruits","PEACHES","de Vigne & Sanguine (Red Flesh)"," All Sizes "
"3376","Fruits","PEARS","Alexander Lucas","All Sizes"
"3377","Fruits","PEARS","Louise Bonne","All Sizes"
"3378","Fruits","PEARS","Santa Maria","All Sizes"
"3379","Fruits","PINEAPPLE","Mini","All Sizes"
"3380","Fruits","PINEAPPLE","Perola","All Sizes"
"3381","Fruits","SOURSOP","","All Sizes"
"3382","Fruits","SUGAR APPLE","","All Sizes"
"3383","Fruits","TANGERINES/MANDARINS","Clementine","Small"
"3384","Fruits","TANGERINES/MANDARINS","Clementine","Medium"
"3385","Fruits","TANGERINES/MANDARINS","Clementine","Large"
"3386","Fruits","TANGERINES/MANDARINS","Clementine (With leaves attached)","All Sizes"
"3387","Fruits","TANGERINES/MANDARINS","Clementine (Without p/harvest treatment)","All Sizes"
"3388","Fruits","TANGERINES/MANDARINS","Satsuma -Clauselina","All Sizes"
"3389","Fruits","TANGERINES/MANDARINS","Satsuma","All Sizes"
"3390","Vegetables","ARRACACH","","All Sizes "
"3391","Vegetables","ARTICHOKES","Rouge Salambo (Red)","All Sizes "
"3392","Vegetables","ASPARAGUS","Green - Bunch","All Sizes"
"3393","Vegetables","ASPARAGUS","White - Bunch","All Sizes"
"3394","Vegetables","ASPARAGUS","Purple - Bunch","All Sizes"
"3395","Vegetables","BELGIAN ENDIVE (WITLOOF CHICORY)","Red","All Sizes"
"3396","Vegetables","CABBAGE","Savoy, Red","All Sizes"
"3397","Vegetables","CABBAGE","Summer Cabbage - Pointed type","All Sizes"
"3398","Vegetables","CHICKPEAS","Chickpeas/Garbanzo","All Sizes"
"3399","Vegetables","GARLIC","Regular - Fresh/Semi-dried with leaves attached","All Sizes"
"3400","Vegetables","GARLIC","Regular - Smoked","All Sizes"
"3401","Vegetables","GARLIC","One-clove types","All Sizes"
"3402","Vegetables","LEEKS","Regular - Bunch","All Sizes"
"3403","Vegetables","LEEKS","Baby - Bunch","All Sizes"
"3404","Vegetables","MUSHROOMS","Cep","All Sizes"
"3405","Vegetables","MUSHROOMS","Fairy Ring Champignon","All Sizes"
"3406","Vegetables","MUSHROOMS","Grey - Tricholoma","All Sizes"
"3407","Vegetables","MUSHROOMS","Grisette","All Sizes"
"3408","Vegetables","MUSHROOMS","Horn of Plenty/Black Trumpet","All Sizes"
"3409","Vegetables","MUSHROOMS","Pioppino","All Sizes"
"3410","Vegetables","MUSHROOMS","Saffron Milk-Cap","All Sizes"
"3411","Vegetables","MUSHROOMS","Sheep Polypore","All Sizes"
"3412","Vegetables","ONIONS","Yellow/Brown Fresh - Bunch","All Sizes"
"3413","Vegetables","PEPPERS (CAPSICUMS)","Tabasco","All Sizes"
"3414","Vegetables","POTATO","Baking - White","All Sizes"
"3415","Vegetables","POTATO","Baking - Red and Red Eye varieties","All Sizes"
"3416","Vegetables","RHUBARB","Bunch"," All Sizes "
"3417","Vegetables","SPINACH","New Zealand Spinach","All Sizes"
"3418","Vegetables","SQUASH","Zucchini/Courgette - Round","All Sizes"
"3419","Herbs","BORAGE","","All Sizes"
"3420","Fruits","PEARS","Belle du Jumet","All Sizes "
"3421","Fruits","MELON","Watermelon - Mini Seedless","3-7 LBS"
"3422","Fruits","APRICOTS","InterSpecific","All Sizes"
"3423","Vegetables","TOMATOES","Heirloom ","All Sizes"
"3424","Vegetables","CARROTS","Purple/Red - Beta Sweet","All Sizes"
"3425","Fruits","TANGERINES/MANDARINS","Ellendale","Small"
"3426","Fruits","TANGERINES/MANDARINS","Ellendale","Medium"
"3427","Fruits","TANGERINES/MANDARINS","Ellendale","Large"
"3428","Fruits","TANGERINES/MANDARINS","Honey/Murcott","Small"
"3429","Fruits","TANGERINES/MANDARINS","Honey/Murcott","Medium"
"3430","Fruits","TANGERINES/MANDARINS","Honey/Murcott","Large"
"3431","Fruits","TANGERINES/MANDARINS","Imperial","Small"
"3432","Fruits","TANGERINES/MANDARINS","Imperial","Medium"
"3433","Fruits","TANGERINES/MANDARINS","Imperial","Large"
"3434","Fruits","PEARS","Tosca","All Sizes"
"3435","Fruits","APPLES","Pinova"," All Sizes "
"3436","Vegetables","CAULIFLOWER","Orange","All Sizes"
"3437","Fruits","NECTARINE","Flat Yellow","All Sizes"
"3438","Fruits","APPLES","Ambrosia"," All other sizes    "
"3439","Fruits","NECTARINE","White Flesh Flat","All Sizes"
"3440","Fruits","POMEGRANATE","","Large"
"3441","Vegetables","SQUASH","Butterkin","All Sizes "
"3442","Fruits","APPLES","New York 1","All Sizes "
"3443","Fruits","APPLES","New York 2","All Sizes "
"3444","Fruits","APPLES","Green Dragon","All Sizes "
"3445","Fruits","APPLES","DS 3","All Sizes "
"3446","Vegetables","KALE SPROUTS","","All Sizes "
"3447","Fruits","APPLES","DS 22","All Sizes "
"3448","Fruits","CHERRIES","Tip Top"," All Sizes  "
"3449","Fruits","GRAPES","Sugrathirteen","All Sizes "
"3450","Fruits","GRAPES","Sugranineteen","All Sizes "
"3451","Fruits","GRAPES","Sugrathirtyfour","All Sizes "
"3452","Fruits","GRAPES","Sugrathirtyfive","All Sizes "
"3453","Vegetables","GALANGAL ROOT","","All Sizes "
"3454","Fruits","JACKFRUIT","Green","All Sizes "
"3455","Fruits","JACKFRUIT","Yellow","All Sizes "
"3456","Fruits","MELON","Winter","All Sizes "
"3457","Fruits","PLUMS","President","All Sizes  "
"3458","Vegetables","TOMATOES","Cherry - Orange","All Sizes "
"3459","Fruits","PERSIMMON","Shiny Red","All Sizes "
"3460","Fruits","APPLES","Red Jonaprince"," All Sizes  "
"3461","Fruits","APPLES","Lady Williams"," All Sizes  "
"3462","Herbs","CHIVES","Garlic/Chinese","All Sizes "
"3463","Vegetables","Amaranth/Callaloo/Een Choy","","All Sizes "
"3464","Fruits","MANGO","B-74","All Sizes  "
"3465","Vegetables","PEPPERS (CAPSICUMS)","Stripy Bell","All Sizes   "
"3466","Fruits","PEARS","Cape Rose","All Sizes "
"3467","Fruits","APPLES","Regal 13-82"," All Sizes  "
"3468","Fruits","APPLES","Honeycrisp"," Small  "
"3469","Fruits","GRAPES","Sugrasixteen","All Sizes "
"3470","Fruits","MELON","Watermelon - Red, Small Seeds","All Sizes  "
"3471","Vegetables","CACTUS LEAVES (Nopales/Cactus Pads)","Baby","All Sizes   "
"3472","Herbs","SACRED PEPPER","","All Sizes "
"3473","Herbs","EPAZOTE","","All Sizes "
"3474","Vegetables","SWEET POTATO/YAM/KUMARA","Saffron","All Sizes "
"3475","Herbs","MINT","Peppermint","All Sizes  "
"3476","Herbs","ORANGE TREE LEAF","","All Sizes   "
"3477","Herbs","PAPALO","","All Sizes "
"3478","Vegetables","QUELITES","","All Sizes "
"3479","Vegetables","CHIPILIN LEAF","","All Sizes "
"3480","Vegetables","PUMPKIN VINE","","All Sizes  "
"3481","Vegetables","XPELON","","All Sizes   "
"3482","Herbs","RABBIT HERB","","All Sizes "
"3483","Herbs","PURPLE HERB","","All Sizes "
"3484","Fruits","APPLES","Dalinette","   All Sizes    "
"3485","Fruits","PEARS","Harovin Sundown"," All Sizes  "
"3486","Fruits","APPLES","CN121","All Sizes "
"3487","Fruits","APPLES","MN 55","All Sizes  "
"3488","Fruits","MANGO","Red","Extra Large  "
"3489","Fruits","PEARS","Cepuna","All Sizes   "
"3490","Fruits","APPLES","MAIA 1","All sizes  "
"3491","Fruits","GRAPES","ARRA FIFTEEN","All Sizes  "
"3492","Fruits","GRAPES","ARRA TWENTYNINE","All Sizes   "
"3493","Vegetables","ONIONS","Tearless Sweet","All Sizes "
"3494","Fruits","MELON","Watermelon - Yellow Mini Seedless","3-7 LBS"
"3495","Fruits","PEARS","Celina","All Sizes  "
"3496","Fruits","GRAPES","IFG Core Red Seedless","All Sizes   "
"3497","Fruits","GRAPES","IFG Core Black Seedless ","All Sizes "
"3498","Fruits","GRAPES","IFG Core Green Seedless","All Sizes  "
"3499","Fruits","GRAPES","IFG Novelty Red Seedless","All Sizes   "
"3500","Fruits","GRAPES","IFG Novelty Black Seedless","All Sizes "
"3501","Fruits","GRAPES","IFG Novelty Green Seedless","All Sizes  "
"3502","Fruits","GRAPES","ARRA TWENTYSEVEN","All Sizes   "
"3503","Fruits","GRAPES","ARRA TWENTYEIGHT","All Sizes "
"3504","Fruits","GRAPES","ARRA THIRTY","All Sizes  "
"3505","Fruits","GRAPES","ARRA THIRTYTWO","All Sizes   "
"3506","Fruits","GRAPES","Sweet Scarlet","All Sizes "
"3507","Fruits","APPLES","WA 38","All Sizes  "
"3508","Fruits","GRAPES","Thomcord","All Sizes   "
"3509","Fruits","AVOCADOS","GEM","All Sizes "
"3510","Fruits","APPLES","Ambrosia"," Small "
"3511","Fruits","APPLES","WA 2","   All sizes      "
"3512","Vegetables","TOMATOES","Round","All sizes  "
"3513","Fruits","APPLES","Shinano Gold","  All sizes  "
"3514","Fruits","APPLES","Fengapi"," All sizes "
"3515","ALL","APPLES","PremA 153"," Small"
"3516","Fruits","APPLES","PremA 153","Large "
"3517","Fruits","KIWIFRUIT","Retailer Assigned - Gold Derivative Varieties"," All sizes "
"3518","Fruits","PEARS","Oksana","  All sizes  "
"3519","Fruits","APPLES","R10-45","    All sizes    "
"3520","Vegetables","ONIONS","SK-20","  All sizes  "
"3521","Fruits","APPLES","Regal D5-100","  All sizes  "
"3522","Fruits","PEARS","HW624","  All sizes  "
"3523","Fruits","APPLES","SQ 159","      All sizes      "
"3600","Fruits","APPLES","Antares"," All Sizes "
"3601","Fruits","APPLES","Huaguan"," All Sizes "
"3602","Fruits","APPLES","Belgica"," All Sizes "
"3603","Fruits","APPLES","Minneiska","All Sizes"
"3604","Fruits","APPLES","Emmons"," All Sizes "
"3605","Fruits","APPLES","Nicoter","  All Sizes  "
"3606","Fruits","PEARS","Sweet Sensation","All Sizes"
"3607","Fruits","APPLES","Mariri Red"," All Sizes "
"3608","Fruits","APPLES","Sciros"," Large "
"3609","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Red","All Sizes"
"3610","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Green","All Sizes"
"3611","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Black","All Sizes"
"3612","Fruits","APPLES","Nicogreen"," All Sizes "
"3613","Fruits","APPLES","Fuji Brak"," All Sizes "
"3614","Fruits","APRICOTS","Red","All Sizes"
"3615","Fruits","APPLES","Civni"," All Sizes "
"3616","Fruits","APPLES","Scilate","Large"
"3617","Fruits","LEMONS","Seedless","All Sizes"
"3618","Fruits","APPLES","Opal"," All Sizes "
"3619","Fruits","APPLES","Milwa"," All Sizes "
"3620","Fruits","APPLES","Plumac","All Sizes "
"3621","Fruits","MANGO","Francis","All Sizes"
"3622","Fruits","MELON","Honey Green","All Sizes  "
"3623","Fruits","MELON","Hami","All Sizes"
"3624","Fruits","MELON","Korean","All Sizes "
"3625","Fruits","APPLES","Minnewashta","All Sizes"
"3626","Fruits","LEMONS","Meyer","All Sizes"
"3627","Fruits","APPLES","PremA17","  Large   "
"3628","Fruits","APPLES","PremA280"," All Sizes "
"3629","Fruits","APPLES","CIVG198"," All Sizes "
"3630","Fruits","APPLES","Co-op 43","All Sizes"
"3631","Vegetables","PUMPKIN","Pink","All Sizes "
"3632","Fruits","TANGERINES/MANDARINS","Dekopon","All Sizes "
"4011","Fruits","BANANAS","Yellow (includes Cavendish)","All Sizes"
"4012","Fruits","ORANGES","Navel","Large"
"4013","Fruits","ORANGES","Navel","Small"
"4014","Fruits","ORANGES","Valencia","Small"
"4014","Fruits","ORANGES","Valencia","Small"
"4015","Fruits","APPLES","Red Delicious"," Small "
"4016","Fruits","APPLES","Red Delicious"," Large "
"4017","Fruits","APPLES","Granny Smith"," Large "
"4018","Fruits","APPLES","Granny Smith"," Large "
"4019","Fruits","APPLES","McIntosh"," Large "
"4020","Fruits","APPLES","Golden Delicious"," Large "
"4021","Fruits","APPLES","Golden Delicious"," Small "
"4022","Fruits","GRAPES","White/Green Seedless - Peerlette Seedless/Thompson Seedless","All Sizes"
"4023","Fruits","GRAPES","Red Seedless - Flame/Ruby/Emperatriz","All Sizes"
"4024","Fruits","PEARS","Bartlett/Williams/WBC","Small"
"4025","Fruits","PEARS","Anjou","Small"
"4026","Fruits","PEARS","Bosc/Beurre Bosc","Small"
"4027","Fruits","GRAPEFRUIT","Ruby/Red/Pink (includes Ray Ruby, Ruby, Ruby Red)","Small"
"4028","Fruits","BERRIES","Strawberries","Pint"
"4029","Fruits","PINEAPPLE","","Small"
"4030","Fruits","KIWIFRUIT","Regular","All Sizes"
"4031","Fruits","MELON","Watermelon - Red   ","All Sizes"
"4032","Fruits","MELON","Watermelon - Red, Seedless","All Sizes"
"4033","Fruits","LEMONS","","Small"
"4034","Fruits","MELON","Honeydew/White Honeydew","Large"
"4035","Fruits","NECTARINE","Yellow Flesh","Small"
"4036","Fruits","NECTARINE","Yellow Flesh","Large"
"4037","Fruits","PEACHES","Yellow Flesh"," Small "
"4038","Fruits","PEACHES","Yellow Flesh"," Large "
"4039","Fruits","PLUMS","Black (Includes Ambra, Black Beaut, Prima Black, Blackamber, Black Torch, Catalina, Challenger, Black Diamond, Friar, Royal Diamond, Black Knight, Freedom, Black Flame, Howard Sun, Angeleno)","Small"
"4040","Fruits","PLUMS","Black (Includes Ambra, Black Beaut, Prima Black, Blackamber, Black Torch, Catalina, Challenger, Black Diamond, Friar, Royal Diamond, Black Knight, Freedom, Black Flame, Howard Sun, Angeleno)","Large"
"4041","Fruits","PLUMS","Red (Includes Santa Rosa, Late Santa Rosa, Red Beaut, Rich Red, Spring Beaut, First Beaut, Royal Red, Red Jewel, Rose Zee, Royal Zee, Ace, Aleta Rose, Burgandy, July Santa Rosa, Frontier, Fortune, Grand Rosa, Red Lane, Red Rosa, Casselman, Autumn Rosa, Mi","Small"
"4042","Fruits","PLUMS","Red (Includes Santa Rosa, Late Santa Rosa, Red Beaut, Rich Red, Spring Beaut, First Beaut, Royal Red, Red Jewel, Rose Zee, Royal Zee, Ace, Aleta Rose, Burgandy, July Santa Rosa, Frontier, Fortune, Grand Rosa, Red Lane, Red Rosa, Casselman, Autumn Rosa, Mi","Large"
"4043","Fruits","PEACHES","Yellow Flesh - Tree Ripened/Ready-to-eat"," Small "
"4044","Fruits","PEACHES","Yellow Flesh - Tree Ripened/Ready-to-eat"," Large "
"4045","Fruits","CHERRIES","Regular/Red/Black","All Sizes"
"4046","Fruits","AVOCADOS","Hass","Small"
"4047","Fruits","GRAPEFRUIT","Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red)","Small"
"4048","Fruits","LIMES","Regular (incl. Persian, Tahiti & Bearss)","All Sizes"
"4049","Fruits","MELON","Cantaloupe/Rockmelon","Small"
"4050","Fruits","MELON","Cantaloupe/Rockmelon","Large"
"4051","Fruits","MANGO","Red (Includes Tommy Atkins, Kent, Palmer, Vandyke, Edward,Hayden)","Small"
"4052","Fruits","PAPAYA/PAWPAW","Regular","Small"
"4053","Fruits","LEMONS","","Large"
"4054","Fruits","BERRIES","Raspberries - Red","All Sizes"
"4055","Fruits","TANGERINES/MANDARINS","","All Sizes"
"4056","Fruits","GRAPES","Blue/Black Seedless (All other varieties not listed above including Beauty and Autumn Royal)","All Sizes"
"4057","Fruits","APPLES","Haralson"," Small "
"4058","Fruits","APPLES","Haralson"," Large "
"4060","Vegetables","BROCCOLI","","All Sizes"
"4061","Vegetables","LETTUCE","Iceberg","All Sizes"
"4062","Vegetables","CUCUMBER","Green/Ridge/Short","All Sizes"
"4063","Vegetables","TOMATOES","Regular - Red","Small"
"4064","Vegetables","TOMATOES","Regular - Red","Large"
"4065","Vegetables","PEPPERS (CAPSICUMS)","Bell, Field Grown - Green","Large"
"4066","Vegetables","BEANS","Green/French","All Sizes"
"4067","Vegetables","SQUASH","Zucchini/Courgette","All Sizes"
"4068","Vegetables","ONIONS","Green (Scallions)/Spring","All Sizes"
"4069","Vegetables","CABBAGE","Green","All Sizes "
"4070","Vegetables","CELERY","Bunch","Small"
"4071","Vegetables","CELERY","Bunch","Small"
"4072","Vegetables","POTATO","Russet","All Sizes"
"4073","Vegetables","POTATO","Red","All Sizes"
"4074","Vegetables","SWEET POTATO/YAM/KUMARA","Red/Orangy Red Flesh","Small"
"4075","Vegetables","LETTUCE","Red Leaf","All Sizes "
"4076","Vegetables","LETTUCE","Green Leaf","All Sizes "
"4077","Vegetables","CORN","Sweet Corn, White","All Sizes"
"4078","Vegetables","CORN","Sweet Corn, Yellow","All Sizes"
"4079","Vegetables","CAULIFLOWER","","Small"
"4080","Vegetables","ASPARAGUS","Green","Small"
"4081","Vegetables","EGGPLANT (AUBERGINE)","Regular","All Sizes"
"4082","Vegetables","ONIONS","Red","All Sizes"
"4083","Vegetables","POTATO","White","All Sizes"
"4084","Vegetables","ARTICHOKES","","Large"
"4085","Vegetables","MUSHROOMS","Regular","Large"
"4086","Vegetables","SQUASH","Yellow Zucchini/Gold Bar/Yellow Courgette","All Sizes"
"4087","Vegetables","TOMATOES","Plum/Italian/Saladette/Roma - Red","All Sizes"
"4088","Vegetables","PEPPERS (CAPSICUMS)","Bell, Field Grown - Red","All Sizes"
"4089","Vegetables","RADISH","Bunched Red","All Sizes"
"4090","Vegetables","SPINACH","Regular/Bunched","All Sizes"
"4091","Vegetables","SWEET POTATO/YAM/KUMARA","White","All Sizes"
"4092","Vegetables","PEAS","Chinese Snow Pea/Pea Pod/Mange Tout","All Sizes"
"4093","Vegetables","ONIONS","Yellow/Brown","Large"
"4094","Vegetables","CARROTS","Bunch","All Sizes"
"4095","Vegetables","TURNIP","Yellow","All Sizes"
"4096","Fruits","APPLES","Ginger Gold"," Large "
"4097","Fruits","APPLES","Ginger Gold"," Small "
"4098","Fruits","APPLES","Akane"," Small "
"4099","Fruits","APPLES","Akane"," Large "
"4100","Fruits","APPLES","Fireside","  Small  "
"4101","Fruits","APPLES","Braeburn"," Small "
"4102","Fruits","APPLES","Fireside"," Large "
"4103","Fruits","APPLES","Braeburn"," Large "
"4104","Fruits","APPLES","Cortland"," Small "
"4105","Fruits","APPLES","Cox Orange Pippin"," All Sizes "
"4106","Fruits","APPLES","Cortland"," Large "
"4107","Fruits","APPLES","Crab"," All Sizes "
"4108","Fruits","APPLES","Crispin/Mutsu"," Small "
"4109","Fruits","APPLES","Crispin/Mutsu"," Small "
"4110","Fruits","APPLES","Crispin/Mutsu"," Large "
"4111","Fruits","APPLES","Crispin/Mutsu"," Large "
"4112","Fruits","APPLES","Regent"," Small "
"4113","Fruits","APPLES","Criterion"," Small "
"4114","Fruits","APPLES","Regent"," Large "
"4115","Fruits","APPLES","Criterion"," Large "
"4116","Fruits","APPLES","Early"," Small "
"4117","Fruits","APPLES","Early"," Small "
"4118","Fruits","APPLES","Early"," Large "
"4119","Fruits","APPLES","Early"," Large "
"4120","Fruits","APPLES","Fiesta"," All Sizes "
"4121","Fruits","APPLES","Elstar"," Small "
"4122","Fruits","APPLES","Sciros"," Small "
"4123","Fruits","APPLES","Elstar"," Large "
"4124","Fruits","APPLES","Empire"," Small "
"4125","Fruits","APPLES","Empire"," Small "
"4126","Fruits","APPLES","Empire"," Large "
"4127","Fruits","APPLES","Empire"," Large "
"4128","Fruits","APPLES","Cripps Pink"," Small "
"4129","Fruits","APPLES","Fuji"," Small "
"4130","Fruits","APPLES","Cripps Pink"," Large "
"4131","Fruits","APPLES","Fuji"," Large "
"4132","Fruits","APPLES","Gala"," Small "
"4133","Fruits","APPLES","Gala"," Small "
"4134","Fruits","APPLES","Gala"," Large "
"4135","Fruits","APPLES","Gala"," Large "
"4136","Fruits","APPLES","Golden Delicious"," Small "
"4137","Fruits","APPLES","Golden Delicious"," Large "
"4138","Fruits","APPLES","Granny Smith"," Small "
"4139","Fruits","APPLES","Granny Smith"," Small "
"4140","Fruits","APPLES","Idared"," Small "
"4141","Fruits","APPLES","Jonamac"," Small "
"4142","Fruits","APPLES","Idared"," Large "
"4143","Fruits","APPLES","Jonamac"," Large "
"4144","Fruits","APPLES","Jonagold"," Small "
"4145","Fruits","APPLES","Jonagold"," Small "
"4146","Fruits","APPLES","Jonagold"," Large "
"4147","Fruits","APPLES","Jonagold"," Large "
"4148","Fruits","APPLES","Jonathan"," Small "
"4149","Fruits","APPLES","Jonathan"," Small "
"4150","Fruits","APPLES","Jonathan"," Large "
"4151","Fruits","APPLES","Jonathan"," Large "
"4152","Fruits","APPLES","McIntosh"," Small "
"4153","Fruits","APPLES","McIntosh"," Small "
"4154","Fruits","APPLES","McIntosh"," Large "
"4155","Fruits","APPLES","Paulared"," Small "
"4156","Fruits","APPLES","Gravenstein"," Small "
"4157","Fruits","APPLES","Paulared"," Large "
"4158","Fruits","APPLES","Gravenstein"," Large "
"4159","Vegetables","ONIONS","Vidalia","All Sizes"
"4160","Fruits","APPLES","Pippin"," Small "
"4161","Vegetables","ONIONS","Texas Sweet","All Sizes"
"4162","Fruits","APPLES","Pippin"," Large "
