"PLU","CATEGORY","COMMODITY","VARIETY","SIZE"
"4940","Nuts","PISTACHIO","Red","All Sizes"
"4941","Nuts","PISTACHIO","Retailer Assigned","All Sizes"
"4942","Nuts","SUNFLOWER SEEDS","","All Sizes"
"4943","Nuts","WALNUTS","Regular","All Sizes"
"4944","Nuts","WALNUTS","Black","All Sizes"
"4945","Nuts","WALNUTS","White","All Sizes"
"4946","Nuts","WALNUTS","Retailer Assigned","All Sizes"
"4947","Nuts","OTHER NUTS","Retailer Assigned","All Sizes"
"4948","Nuts","OTHER NUTS","Retailer Assigned","All Sizes"
"4949","Nuts","OTHER NUTS","Retailer Assigned","All Sizes"
"4950","Nuts","OTHER NUTS","Retailer Assigned"," All Sizes "
"4951","Nuts","OTHER NUTS","Retailer Assigned","All Sizes"
"4952","Nuts","OTHER NUTS","Retailer Assigned","All Sizes"
"4953","Nuts","OTHER NUTS","Retailer Assigned","All Sizes"
"4954","Nuts","OTHER NUTS","Retailer Assigned","All Sizes"
"4955","Nuts","OTHER NUTS","Retailer Assigned","All Sizes"
"4956","Nuts","OTHER NUTS","Retailer Assigned","All Sizes"
"4957","Fruits","GRAPES","Blue/Black Seeded (All others not listed above)","All Sizes"
"4958","Fruits","LEMONS","","Medium"
"4959","Fruits","MANGO","Red (Includes Tommy Atkins, Kent, Palmer Vandyke, Edward, Hayden)","Large"
"4960","Fruits","PEARS","Fragrant","All Sizes"
"4961","Fruits","MANGO","Yellow","Large"
